ticker,date,price,target,stop loss
NUCLEUS,2022-01-29,579.9000244140625,626.1000366210938,566.1000366210938
SUNFLAG,2022-01-29,79.25,89.9000015258789,76.95000457763672
TEXRAIL,2022-01-29,41.54999923706055,52.299997329711914,39.60000228881836
TRIVENI,2022-01-29,266.1499938964844,324.3500061035156,253.79998779296875
CANBK,2022-02-01,252.9499969482422,433.69998931884766,197.15000915527344
ONGC,2022-02-01,172.60000610351562,297.45001220703125,138.9499969482422
IDFC,2022-02-01,64.69999694824219,118.69999694824219,55.44999694824219
WELCORP,2022-02-01,184.35000610351562,326.65000915527344,147.1999969482422
APARINDS,2022-02-01,698.5999755859375,1327.4999542236328,499.75
HONDAPOWER,2022-02-01,1423.3499755859375,2215.0499267578125,1161.6500244140625
NBVENTURES,2022-02-01,132.0500030517578,238.0500030517578,104.10000610351562
AUBANK,2022-02-02,1347.0,1779.0,1291.0999755859375
ATGL,2022-02-02,1864.6500244140625,2059.5999755859375,1814.6500244140625
ABCAPITAL,2022-02-02,122.30000305175781,133.0,118.9000015258789
BANKBARODA,2022-02-02,106.1500015258789,179.45000457763672,99.25
CANBK,2022-02-02,258.75,446.7000045776367,242.14999389648438
COROMANDEL,2022-02-02,788.25,858.8499755859375,770.3499755859375
INDHOTEL,2022-02-02,222.60000610351562,275.40000915527344,211.3000030517578
LAURUSLABS,2022-02-02,524.4500122070312,611.6500244140625,501.8999938964844
TATAPOWER,2022-02-02,249.85000610351562,349.6499938964844,238.25001525878906
ADANITRANS,2022-02-02,1986.9000244140625,2325.9000244140625,1877.9000244140625
GAIL,2022-02-02,147.5,166.1999969482422,143.64999389648438
KEC,2022-02-02,504.20001220703125,558.0500183105469,486.3000183105469
INDIACEM,2022-02-02,230.89999389648438,277.25,217.04998779296875
VIPIND,2022-02-02,602.2999877929688,707.2499694824219,578.2999877929688
KNRCON,2022-02-02,311.0,398.5,288.1499938964844
IRB,2022-02-02,266.20001220703125,335.25,253.6000213623047
WELCORP,2022-02-02,189.0500030517578,218.90000915527344,180.75
INOXLEISUR,2022-02-02,433.25,533.25,406.5999755859375
SUZLON,2022-02-02,12.300000190734863,15.5,11.350000381469727
INDIANB,2022-02-02,153.0500030517578,183.65000915527344,143.25
INGERRAND,2022-02-02,1431.6500244140625,1786.0,1329.7000732421875
ROUTE,2022-02-02,1825.5999755859375,2234.5,1709.75
BLS,2022-02-02,247.10000610351562,319.65000915527344,228.40000915527344
MANINFRA,2022-02-02,120.0999984741211,139.4499969482422,113.6500015258789
OLECTRA,2022-02-02,847.6500244140625,987.2999877929688,807.8500366210938
PANACEABIO,2022-02-02,252.35000610351562,339.40000915527344,243.85000610351562
PURVA,2022-02-02,142.9499969482422,157.09999084472656,138.3000030517578
RELINFRA,2022-02-02,106.0999984741211,120.79999542236328,101.55000305175781
TEXRAIL,2022-02-02,40.25,50.39999961853027,37.25
TIRUMALCHM,2022-02-02,273.04998779296875,347.9499816894531,256.5
VOLTAMP,2022-02-02,2020.550048828125,2222.60009765625,1960.35009765625
ATGL,2022-02-03,1877.0999755859375,2072.0499267578125,1827.0999755859375
CANBK,2022-02-03,269.6499938964844,467.99999237060547,242.64999389648438
CHOLAFIN,2022-02-03,639.2000122070312,779.8500366210938,601.7999877929688
INDHOTEL,2022-02-03,218.5500030517578,274.1000061035156,204.5
SUVENPHAR,2022-02-03,551.4500122070312,660.1500244140625,518.4000244140625
ADANITRANS,2022-02-03,2016.0,2355.0,1907.0
BIOCON,2022-02-03,387.25,462.3500061035156,363.5
GRINDWELL,2022-02-03,1948.9000244140625,2127.6500244140625,1890.0
GALAXYSURF,2022-02-03,3228.050048828125,3837.050048828125,3077.75
FINEORG,2022-02-03,3934.60009765625,4428.5,3788.650146484375
IRB,2022-02-03,279.29998779296875,360.9499816894531,254.09999084472656
EIHOTEL,2022-02-03,142.39999389648438,162.99999237060547,136.79998779296875
WELCORP,2022-02-03,189.75,221.5,179.5500030517578
NATIONALUM,2022-02-03,116.05000305175781,146.1500015258789,108.5999984741211
SPARC,2022-02-03,344.20001220703125,612.2000122070312,309.0500183105469
BHARATRAS,2022-02-03,13065.5,16827.0,12133.5
INTELLECT,2022-02-03,774.6500244140625,906.550048828125,734.2000122070312
BLS,2022-02-03,253.1999969482422,331.20001220703125,229.04998779296875
FILATEX,2022-02-03,122.0,148.14999389648438,113.70000457763672
IGPL,2022-02-03,760.5499877929688,940.9500122070312,717.0
NBVENTURES,2022-02-03,134.4499969482422,242.14999389648438,123.0
RELINFRA,2022-02-03,110.0999984741211,140.4000015258789,100.25
SIYSIL,2022-02-03,509.1000061035156,653.4500122070312,462.8999938964844
TEXRAIL,2022-02-03,44.650001525878906,76.10000228881836,38.70000076293945
ATGL,2022-02-04,1877.0999755859375,2072.0499267578125,1827.0999755859375
COROMANDEL,2022-02-04,794.0499877929688,864.6499633789062,776.1499633789062
IIFLWAM,2022-02-04,1622.800048828125,1860.75,1545.25
PAGEIND,2022-02-04,43221.1484375,47884.8984375,41807.046875
SJVN,2022-02-04,30.950000762939453,32.95000076293945,30.350000381469727
BAJAJ-AUTO,2022-02-04,3535.0,4100.300048828125,3454.199951171875
BANDHANBNK,2022-02-04,320.54998779296875,395.34999084472656,309.9499816894531
BIOCON,2022-02-04,387.25,462.3500061035156,363.5
GAIL,2022-02-04,145.6999969482422,169.25,141.09999084472656
HEROMOTOCO,2022-02-04,2702.39990234375,3009.199951171875,2610.599853515625
AMBER,2022-02-04,3568.85009765625,4214.85009765625,3372.5
TEAMLEASE,2022-02-04,4485.35009765625,5379.64990234375,4268.25
WELSPUNIND,2022-02-04,143.0,156.60000610351562,139.14999389648438
FINEORG,2022-02-04,3934.60009765625,4428.5,3788.650146484375
IRB,2022-02-04,279.29998779296875,360.9499816894531,254.09999084472656
EIHOTEL,2022-02-04,142.39999389648438,162.99999237060547,136.79998779296875
BDL,2022-02-04,487.3999938964844,613.4500122070312,460.7499694824219
PRAJIND,2022-02-04,422.1000061035156,522.1000061035156,395.1000061035156
HSCL,2022-02-04,57.650001525878906,71.5,54.55000305175781
GMDCLTD,2022-02-04,117.4000015258789,165.0,107.4000015258789
MRPL,2022-02-04,46.400001525878906,52.95000076293945,44.70000076293945
ASAHIINDIA,2022-02-04,563.6500244140625,655.3500366210938,541.550048828125
